name,email,password,languages,birth_date,country,course,situationLaboral,role,dateCreated,gender,eventsConfi,imageUrl,firstOnBoard,conocimientos,quieroAprender,interests
Sandro Guarana-Baglioni,sandro.guarana-baglioni@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Inglés', 'Castellano']",1990-08-27,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.480504,male,[],https://placekitten.com/645/842,True,['64879e9a5340903bb1ebb0eb'],['64879e9a5340903bb1ebb0e7'],"['64879ed95340903bb1ebb110', '64879ed95340903bb1ebb0ff', '64879ed95340903bb1ebb100']"
Espiridión Armas Armengol,espiridión.armas@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Francés', 'Inglés', 'Alemán', 'Italiano']",1992-07-10,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.491941,male,[],https://dummyimage.com/269x1019,True,"['64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0f0']","['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0ec']",['64879ed95340903bb1ebb103']
John Tate,john.tate@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Alemán', 'Francés', 'Castellano']",2001-10-25,Estados Unidos,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.503200,male,[],https://picsum.photos/111/72,True,['64879e9a5340903bb1ebb0e7'],['64879e9a5340903bb1ebb0ed'],"['64879ed95340903bb1ebb107', '64879ed95340903bb1ebb109']"
Sabatino Federici-Siffredi,sabatino.federici-siffredi@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Inglés']",1997-05-26,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.514440,male,[],https://dummyimage.com/670x411,True,"['64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e7']","['64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0e8']","['64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb108']"
Prof. Timo Gierschner B.Sc.,prof..timo@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Italiano', 'Francés', 'Inglés', 'Castellano']",1996-06-01,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.525576,male,[],https://picsum.photos/731/272,True,"['64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ee']","['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0f0']",['64879ed95340903bb1ebb107']
Mustafa Krause,mustafa.krause@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Italiano']",1991-12-21,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.536734,male,[],https://placekitten.com/343/23,True,"['64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0e8']","['64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0f0']","['64879ed95340903bb1ebb101', '64879ed95340903bb1ebb111', '64879ed95340903bb1ebb115', '64879ed95340903bb1ebb0fa']"
Luc Chauvet,luc.chauvet@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Castellano']",1987-11-08,Francia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.548499,male,[],https://dummyimage.com/751x487,True,"['64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ee']","['64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ef']","['64879ed95340903bb1ebb107', '64879ed95340903bb1ebb113']"
Virgilio Juárez Villar,virgilio.juárez@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Francés']",1983-01-03,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.559848,male,[],https://picsum.photos/327/976,True,"['64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ee']","['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ef']","['64879ed95340903bb1ebb0ff', '64879ed95340903bb1ebb103', '64879ed95340903bb1ebb117', '64879ed95340903bb1ebb115']"
Dott. Antonio Zabarella,dott..antonio@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Castellano', 'Alemán']",1994-02-25,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.571215,male,[],https://picsum.photos/750/60,True,"['64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0f0']","['64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0eb']",['64879ed95340903bb1ebb10e']
Isaac du Grondin,isaac.du@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Inglés', 'Castellano', 'Alemán']",1989-07-23,Francia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.582724,male,[],https://placekitten.com/712/121,True,['64879e9a5340903bb1ebb0ea'],['64879e9a5340903bb1ebb0ed'],"['64879ed95340903bb1ebb100', '64879ed95340903bb1ebb0ff', '64879ed95340903bb1ebb104', '64879ed95340903bb1ebb10f', '64879ed95340903bb1ebb116']"
Alexandre Guérin,alexandre.guérin@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Castellano', 'Inglés', 'Alemán', 'Italiano']",1993-04-17,Francia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.594008,male,[],https://placekitten.com/736/914,True,"['64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0ef']","['64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ee']","['64879ed95340903bb1ebb10c', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb0fd', '64879ed95340903bb1ebb0fe']"
Alphons Argan,alphons.argan@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Alemán', 'Castellano']",1994-04-24,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.605179,male,[],https://placekitten.com/815/314,True,"['64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0ed']","['64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ec']","['64879ed95340903bb1ebb115', '64879ed95340903bb1ebb114', '64879ed95340903bb1ebb100', '64879ed95340903bb1ebb116']"
Auguste Joubert de Techer,auguste.joubert@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Alemán', 'Castellano']",2003-08-28,Francia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.616298,male,[],https://placekitten.com/53/985,True,"['64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ed']","['64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ea']","['64879ed95340903bb1ebb108', '64879ed95340903bb1ebb0fe']"
Claudio Company Aparicio,claudio.company@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Alemán']",1988-08-15,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.627794,male,[],https://dummyimage.com/699x210,True,"['64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ef']","['64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0ee']","['64879ed95340903bb1ebb0fc', '64879ed95340903bb1ebb112']"
Cesar Gelabert Valderrama,cesar.gelabert@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Italiano', 'Francés']",1993-11-25,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.639152,male,[],https://dummyimage.com/669x444,True,"['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0eb']","['64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0f0']","['64879ed95340903bb1ebb117', '64879ed95340903bb1ebb10a', '64879ed95340903bb1ebb115', '64879ed95340903bb1ebb100', '64879ed95340903bb1ebb113']"
Xavier Marie Le Moreno,xavier.marie@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Alemán', 'Castellano', 'Inglés']",1994-02-23,Francia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.650868,male,[],https://placekitten.com/821/539,True,"['64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ef']","['64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0ed']","['64879ed95340903bb1ebb101', '64879ed95340903bb1ebb106', '64879ed95340903bb1ebb110', '64879ed95340903bb1ebb107', '64879ed95340903bb1ebb113']"
Adem Löffler,adem.löffler@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Castellano', 'Italiano', 'Francés']",1988-02-24,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.662484,male,[],https://picsum.photos/424/412,True,"['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ec']","['64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ea']","['64879ed95340903bb1ebb116', '64879ed95340903bb1ebb108']"
Timothy Hale,timothy.hale@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Francés']",1997-05-29,Estados Unidos,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.674053,male,[],https://dummyimage.com/240x925,True,['64879e9a5340903bb1ebb0e8'],['64879e9a5340903bb1ebb0e7'],"['64879ed95340903bb1ebb101', '64879ed95340903bb1ebb10c', '64879ed95340903bb1ebb102', '64879ed95340903bb1ebb107', '64879ed95340903bb1ebb0fb']"
Eliseo Sáez,eliseo.sáez@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Alemán', 'Italiano', 'Inglés', 'Francés']",2001-02-23,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.685963,male,[],https://picsum.photos/536/535,True,"['64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ea']","['64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ef']","['64879ed95340903bb1ebb0fc', '64879ed95340903bb1ebb108']"
Arsenio Pirelli,arsenio.pirelli@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Inglés', 'Castellano', 'Francés']",1999-05-18,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.697765,male,[],https://placekitten.com/340/898,True,"['64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0e7']","['64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ed']","['64879ed95340903bb1ebb10e', '64879ed95340903bb1ebb0fd', '64879ed95340903bb1ebb100']"
Jon Torres III,jon.torres@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Alemán', 'Castellano']",2004-09-29,Estados Unidos,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.709560,male,[],https://dummyimage.com/469x344,True,"['64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0e9']","['64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0ed']",['64879ed95340903bb1ebb110']
Paolo Ziani,paolo.ziani@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Inglés', 'Castellano', 'Alemán']",1995-03-25,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.721277,male,[],https://placekitten.com/742/931,True,"['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ee']","['64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ea']",['64879ed95340903bb1ebb10f']
Amico Ortese,amico.ortese@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Inglés', 'Castellano']",2002-09-23,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.732966,male,[],https://dummyimage.com/994x124,True,['64879e9a5340903bb1ebb0e8'],['64879e9a5340903bb1ebb0ea'],"['64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb115', '64879ed95340903bb1ebb0fe', '64879ed95340903bb1ebb110']"
Joseph Vargas,joseph.vargas@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Italiano', 'Francés']",2004-07-02,Estados Unidos,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.744754,male,[],https://placekitten.com/369/247,True,"['64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0e9']","['64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ec']",['64879ed95340903bb1ebb107']
Guillaume Guibert de la Neveu,guillaume.guibert@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Castellano', 'Italiano']",1994-12-22,Francia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.756452,male,[],https://placekitten.com/727/450,True,"['64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ef']","['64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e8']","['64879ed95340903bb1ebb112', '64879ed95340903bb1ebb111', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb115']"
Ing. Heinz-Gerd Wende,ing..heinz-gerd@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Francés', 'Inglés', 'Italiano', 'Castellano']",1990-11-09,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.768035,male,[],https://picsum.photos/122/781,True,"['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0e7']","['64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ea']",['64879ed95340903bb1ebb117']
Vitali Mies,vitali.mies@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Francés']",2001-08-29,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.779607,male,[],https://dummyimage.com/339x682,True,['64879e9a5340903bb1ebb0ea'],['64879e9a5340903bb1ebb0ed'],"['64879ed95340903bb1ebb111', '64879ed95340903bb1ebb106']"
Dott. Pasqual Mengolo,dott..pasqual@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Inglés', 'Alemán', 'Castellano']",1997-01-24,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.791164,male,[],https://dummyimage.com/943x3,True,"['64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0eb']","['64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ee']",['64879ed95340903bb1ebb106']
Giuseppe Cimarosa,giuseppe.cimarosa@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Inglés', 'Castellano', 'Alemán', 'Francés']",1989-10-15,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.802621,male,[],https://picsum.photos/787/911,True,"['64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ec']","['64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0ef']","['64879ed95340903bb1ebb101', '64879ed95340903bb1ebb0fe', '64879ed95340903bb1ebb10d', '64879ed95340903bb1ebb0fc', '64879ed95340903bb1ebb109']"
Jeremy Butler,jeremy.butler@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Alemán', 'Castellano']",2003-12-28,Estados Unidos,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.814705,male,[],https://dummyimage.com/534x710,True,"['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0ed']","['64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0ec']","['64879ed95340903bb1ebb109', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb111', '64879ed95340903bb1ebb107', '64879ed95340903bb1ebb102']"
Sig.ra Antonina Montecchi,sig.ra.antonina@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Inglés', 'Castellano']",1996-10-01,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.826385,female,[],https://placekitten.com/744/26,True,"['64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ef']","['64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ec']",['64879ed95340903bb1ebb0fb']
Ing. Elfi Winkler B.Eng.,ing..elfi@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Francés', 'Inglés', 'Italiano', 'Castellano']",2002-09-17,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.838001,female,[],https://placekitten.com/116/696,True,['64879e9a5340903bb1ebb0f0'],['64879e9a5340903bb1ebb0ef'],"['64879ed95340903bb1ebb10e', '64879ed95340903bb1ebb0fe']"
